Country,Year,Electricity_Consumption
Greece,2014,51185.0
Greece,2015,52445.001000000004
Greece,2016,55033.705
Greece,2017,55614.428
Greece,2018,51096.149900000004
Greece,2019,51735.304000000004
Greece,2020,48847.365
Greece,2021,51044.9581
Greece,2022,49106.7649
Greece,2023,48099.4331
Greece,2024,50862.191
Greece,2025,47544.236000000004
Greece,2026,7712.4221
Hungary,2010,36006.85
Hungary,2011,36392.443
Hungary,2012,36633.908
Hungary,2013,36244.62
Hungary,2014,36899.999
Hungary,2015,38141.031
Hungary,2016,38693.0083
Hungary,2017,40150.0
Hungary,2018,40881.9999
Hungary,2019,41428.9998
Hungary,2020,41452.0
Hungary,2021,43850.0
Hungary,2022,43179.359899999996
Hungary,2023,42381.5219
Hungary,2024,44128.062
Hungary,2025,44204.5219
Hungary,2026,8196.4583
IEA Total,2010,9585905.357
IEA Total,2011,9546675.039
IEA Total,2012,9519889.789
IEA Total,2013,9544065.833
IEA Total,2014,9526937.648
IEA Total,2015,9590621.5892
IEA Total,2016,9669155.0387
IEA Total,2017,9667174.1467
IEA Total,2018,9891842.5479
IEA Total,2019,9748598.1708
IEA Total,2020,9544496.6174
IEA Total,2021,9806229.324
IEA Total,2022,9908614.9111
IEA Total,2023,9707332.476
IEA Total,2024,9990351.6567
IEA Total,2025,10189790.2113
IEA Total,2026,1790139.0542000001
Iceland,2010,16047.0
Iceland,2011,16348.001
Iceland,2012,16809.999
Iceland,2013,17626.0
Iceland,2014,17305.0
Iceland,2015,17982.0
Iceland,2016,17682.608
Iceland,2017,18255.294
Iceland,2018,18878.324
Iceland,2019,18588.5091
Iceland,2020,18238.4919
Iceland,2021,18661.714
Iceland,2022,19157.499
Iceland,2023,19255.977
Iceland,2024,18743.288
Iceland,2025,18221.0055
Iceland,2026,2958.6848
Ireland,2010,25524.309
Ireland,2011,24824.212
Ireland,2012,24543.167
Ireland,2013,24755.97
Ireland,2014,24932.561999999998
Ireland,2015,25684.347999999998
Ireland,2016,26311.2379
Ireland,2017,26838.3139
Ireland,2018,27591.1683
Ireland,2019,28161.836
Ireland,2020,28512.178
Ireland,2021,29677.9529
Ireland,2022,30419.938000000002
Ireland,2023,31329.553
Ireland,2024,32712.9451
Ireland,2025,34142.2571
Ireland,2026,6243.08
Italy,2010,309883.241
Italy,2011,313787.085
Italy,2012,307217.382
Italy,2013,297289.391
Italy,2014,291083.935
Italy,2015,297180.421
Italy,2016,295508.62
Italy,2017,301880.516
Italy,2018,303442.97
Italy,2019,301803.8529
Italy,2020,283814.5427
Italy,2021,300886.928
Italy,2022,295864.8119
Italy,2023,287339.6946
Italy,2024,292899.0287
Italy,2025,289681.1112
Italy,2026,49722.5271
Japan,2010,1055081.65
Japan,2011,1018990.175
Japan,2012,1022889.666
Japan,2013,1003071.157
Japan,2014,999695.517
Japan,2015,984138.69
Japan,2016,977314.48
Japan,2017,975171.0292
Japan,2018,981159.8012
Japan,2019,945380.6645
Japan,2020,908821.5775
Japan,2021,928233.1609
Japan,2022,938142.5772
Japan,2023,893661.4092
Japan,2024,905037.7962
Japan,2025,917359.2208
Japan,2026,169712.2733
Korea,2010,458695.007
Korea,2011,481462.4
Korea,2012,492265.749
Korea,2013,497750.909
Korea,2014,505091.962
Korea,2015,506161.335
Korea,2016,515275.7202
Korea,2017,524615.559
Korea,2018,542817.1456
Korea,2019,538421.3829
Korea,2020,539266.0751
Korea,2021,570221.5231
Korea,2022,577779.088
Korea,2023,570439.5661
Korea,2024,603725.583
Korea,2025,603927.3355
Korea,2026,103684.5132
Latvia,2010,6217.001
Latvia,2011,6193.001
Latvia,2012,6851.0
Latvia,2013,6580.068
Latvia,2014,6584.101
Latvia,2015,6463.238
Latvia,2016,6483.9999
Latvia,2017,6485.6756000000005
Latvia,2018,6663.6633
Latvia,2019,6637.6634
Latvia,2020,6689.8993
Latvia,2021,6931.2412
Latvia,2022,6748.3729
Latvia,2023,6558.7941
Latvia,2024,6753.1411
Latvia,2025,6687.0773
Latvia,2026,1358.2325
Lithuania,2010,9327.0
Lithuania,2011,9546.999
Lithuania,2012,9727.316
Lithuania,2013,9772.780999999999
Lithuania,2014,10011.985
Lithuania,2015,10167.312
Lithuania,2016,10629.449
Lithuania,2017,10960.2
Lithuania,2018,11286.0
Lithuania,2019,11411.9999
Lithuania,2020,11157.1998
Lithuania,2021,11956.5999
Lithuania,2022,11454.4438
Lithuania,2023,11064.4
Lithuania,2024,11608.3
Lithuania,2025,15577.6647
Lithuania,2026,2837.8468
Luxembourg,2010,6592.777
Luxembourg,2011,6492.609
Luxembourg,2012,6219.798
Luxembourg,2013,6183.632
Luxembourg,2014,6182.157
Luxembourg,2015,6228.507
Luxembourg,2016,6365.7723000000005
Luxembourg,2017,6392.9963
Luxembourg,2018,6458.4939
Luxembourg,2019,6396.6962
Luxembourg,2020,6119.8613
Luxembourg,2021,6392.7611
Luxembourg,2022,6180.483
Luxembourg,2023,6084.0829
Luxembourg,2024,6225.1121
Luxembourg,2025,5938.7728
Luxembourg,2026,1037.3414
Mexico,2010,219132.72
Mexico,2011,233796.908
Mexico,2012,241415.813
Mexico,2013,244540.384
Mexico,2014,248198.736
Mexico,2015,256466.946
Mexico,2016,263166.9097
Mexico,2017,255209.0639
Mexico,2018,273025.4935
Mexico,2019,281653.2422
Mexico,2020,283923.1858
Mexico,2021,288508.8325
Mexico,2022,304731.3665
Mexico,2023,314367.9584
Mexico,2024,318348.8531
Mexico,2025,319447.5574
Mexico,2026,45888.1418
Netherlands,2010,111967.008
Netherlands,2011,113035.64199999999
Netherlands,2012,111093.137
Netherlands,2013,110553.791
Netherlands,2014,108507.696
Netherlands,2015,109386.05
Netherlands,2016,110469.535
Netherlands,2017,111491.4618
Netherlands,2018,113484.71399999999
Netherlands,2019,113655.9601
Netherlands,2020,112435.362
Netherlands,2021,113742.1969
Netherlands,2022,108139.412
Netherlands,2023,107141.8049
Netherlands,2024,111296.6979
Netherlands,2025,113290.82860000001
Netherlands,2026,20718.3257
New Zealand,2010,40344.719
New Zealand,2011,40061.772
New Zealand,2012,39802.912
New Zealand,2013,38975.704
New Zealand,2014,39383.411
New Zealand,2015,39993.786
New Zealand,2016,39748.1945
New Zealand,2017,40165.2036
New Zealand,2018,40312.0485
